svspp,cruise6,station,stratum,tow,svvessel,est_year,est_month,est_day,season,biomass_kg,abundance,haul_id,EPU,hex_id,five_year_period,hauls,spfgr
100,197411,169,1170,1,AL,1974,10,0,Fall,1e-04,1,197411_169,GB,395,1970,28,1
100,197609,321,1180,1,AL,1976,11,0,Fall,0.1,1,197609_321,GB,384,1975,15,1
100,197806,531,1220,10,DE,1978,11,0,Fall,1e-04,1,197806_531,GOM,344,1975,20,1
100,198606,228,1180,2,AL,1986,10,0,Fall,1e-04,1,198606_228,GB,395,1985,16,1
100,199206,007,1700,3,AL,1992,9,0,Fall,1e-04,1,199206_007,MAB,98,1990,25,1
100,201304,056,1680,3,HB,2013,9,36,Fall,0.01,2,201304_056,MAB,54,2010,18,1
100,201304,147,1080,3,HB,2013,9,47,Fall,0.572,38,201304_147,MAB,205,2010,36,1
101,197003,003,1230,5,AL,1970,3,0,Spring,12.2,1,197003_003,GOM,270,1970,20,2
101,197003,022,1170,4,AL,1970,3,0,Spring,3.2,1,197003_022,SS,438,1970,16,2
101,197003,067,1260,2,AL,1970,3,0,Spring,3.6,1,197003_067,GOM,260,1970,26,2
101,197006,062,1050,4,AL,1970,10,0,Fall,5.4,1,197006_062,MAB,206,1970,21,2
101,197006,166,1210,4,AL,1970,10,0,Fall,1e-04,1,197006_166,GB,386,1970,28,2
101,197006,268,1340,2,AL,1970,11,0,Fall,0.9,1,197006_268,SS,398,1970,15,2
101,197101,095,1200,5,AL,1971,3,0,Spring,1e-04,1,197101_095,GB,375,1970,22,2
101,197101,116,1250,4,AL,1971,3,0,Spring,6.4,1,197101_116,GOM,270,1970,20,2
101,197101,234,1390,5,AL,1971,4,0,Spring,3.2,1,197101_234,GOM,325,1970,22,2
101,197106,141,1240,4,AL,1971,10,0,Fall,12.6,1,197106_141,GOM,312,1970,18,2
101,197202,208,1260,4,AL,1972,4,0,Spring,0.9,1,197202_208,GOM,250,1970,28,2
