"","svspp","NOAA_label","family","genus","species","taxonomic_rank","taxon","lme","fao","habitat","reference_habitat","feeding_mode","reference_feeding_mode","trophic_level","level_tl","reference_tl","body_shape","fin_shape","ar","level_ar","reference_ar","offspring_size","level_offspring_size","reference_offspring_size","spawning_type","reference_spawning_type","age_maturity","level_age_maturity","reference_age_maturity","fecundity","level_fecundity","reference_fecundity","l_inf","k","level_growth","reference_growth","max_obs_length","level_length_max","reference_length_max","age_max","level_age_max","reference_age_max","temperature","reference_temperature","w_inf","reference_w_inf","natural_mortality","reference_mortality","length_maturity","reference_length_maturity"
"1",1,"Myxine glutinosa","Myxinidae","Myxine","Myxine glutinosa","S","Myxine glutinosa",7,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.54,"spe","FroesePauly2018","eel-like","rounded",0.61,"fam","FroesePauly2018",6.95805885543108,"fam","FishLife","non-guarder","FroesePauly2018",8,"spe","Meer2015",25,"spe-ocean","FroesePauly2018",75.2020154678526,0.118415611396296,"fam-ocean","FishLife",79,"spe-FAO","FroesePauly2018",NA,"","",12.7439498679034,"FishLife",2436.21919178739,2436.21919178739,0.324899261276327,"FishLife",27.4588392865101,"FishLife"
"2",1,"Myxine glutinosa","Myxinidae","Myxine","Myxine glutinosa","S","Myxine glutinosa",8,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.54,"spe","FroesePauly2018","eel-like","rounded",0.61,"fam","FroesePauly2018",6.95805885543108,"fam","FishLife","non-guarder","FroesePauly2018",8,"spe","Meer2015",25,"spe-ocean","FroesePauly2018",75.2020154678526,0.118415611396296,"fam-ocean","FishLife",79,"spe-LME","FroesePauly2018",NA,"","",12.7439498679034,"FishLife",2436.21919178739,2436.21919178739,0.324899261276327,"FishLife",27.4588392865101,"FishLife"
"3",1,"Myxine glutinosa","Myxinidae","Myxine","Myxine glutinosa","S","Myxine glutinosa",9,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.54,"spe","FroesePauly2018","eel-like","rounded",0.61,"fam","FroesePauly2018",6.95805885543108,"fam","FishLife","non-guarder","FroesePauly2018",8,"spe","Meer2015",25,"spe-ocean","FroesePauly2018",75.2020154678526,0.118415611396296,"fam-ocean","FishLife",79,"spe-LME","FroesePauly2018",NA,"","",12.7439498679034,"FishLife",2436.21919178739,2436.21919178739,0.324899261276327,"FishLife",27.4588392865101,"FishLife"
"4",2,"Petromyzon marinus","Petromyzontidae","Petromyzon","Petromyzon marinus","S","Petromyzon marinus",6,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.37,"spe","FroesePauly2018","eel-like","rounded",0.81,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",7,"spe-ocean","FroesePauly2019",234333,"spe-ocean","FroesePauly2018",54,0.16,"spe-ocean","FroesePauly2018",84,"spe-LME","FroesePauly2018",11,"spe","FroesePauly2018",15.7717195020202,"FishLife",3498.68101336811,3498.68101336811,0.348708707957127,"FishLife",27.641986072693,"FishLife"
"5",2,"Petromyzon marinus","Petromyzontidae","Petromyzon","Petromyzon marinus","S","Petromyzon marinus",7,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.37,"spe","FroesePauly2018","eel-like","rounded",0.81,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",7,"spe-ocean","FroesePauly2019",234333,"spe-ocean","FroesePauly2018",54,0.16,"spe-ocean","FroesePauly2018",84,"spe-LME","FroesePauly2018",11,"spe","FroesePauly2018",15.7717195020202,"FishLife",3498.68101336811,3498.68101336811,0.348708707957127,"FishLife",27.641986072693,"FishLife"
"6",2,"Petromyzon marinus","Petromyzontidae","Petromyzon","Petromyzon marinus","S","Petromyzon marinus",8,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.37,"spe","FroesePauly2018","eel-like","rounded",0.81,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",7,"spe-ocean","FroesePauly2019",234333,"spe-ocean","FroesePauly2018",54,0.16,"spe-ocean","FroesePauly2018",84,"spe-FAO","FroesePauly2018",11,"spe","FroesePauly2018",15.7717195020202,"FishLife",3498.68101336811,3498.68101336811,0.348708707957127,"FishLife",27.641986072693,"FishLife"
"7",3,"Carcharhinus obscurus","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","S","Carcharhinus obscurus",6,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.28,"spe","FroesePauly2018","fusiform","heterocercal",3.36,"spe","FroesePauly2018",753,"spe","Simpfendorfer2002","bearer","FroesePauly2018",20.3,"spe-ocean","FroesePauly2019",9,"spe-ocean","FroesePauly2018",435,0.04,"spe-LME","FroesePauly2018",329,"spe-FAO","FroesePauly2018",39,"spe-LME","FroesePauly2018",18.5141606911646,"FishLife",445432.904955439,445432.904955439,0.0737786152931604,"FishLife",250.252908487229,"FishLife"
"8",3,"Carcharhinus obscurus","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","S","Carcharhinus obscurus",6,31,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.28,"spe","FroesePauly2018","fusiform","heterocercal",3.36,"spe","FroesePauly2018",753,"spe","Simpfendorfer2002","bearer","FroesePauly2018",20.3,"spe-ocean","FroesePauly2019",9,"spe-ocean","FroesePauly2018",435,0.04,"spe-LME","FroesePauly2018",400,"spe-ocean","FroesePauly2018",39,"spe-LME","FroesePauly2018",18.5141606911646,"FishLife",445432.904955439,445432.904955439,0.0737786152931604,"FishLife",250.252908487229,"FishLife"
"9",3,"Carcharhinus obscurus","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","S","Carcharhinus obscurus",7,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.28,"spe","FroesePauly2018","fusiform","heterocercal",3.36,"spe","FroesePauly2018",753,"spe","Simpfendorfer2002","bearer","FroesePauly2018",20.3,"spe-ocean","FroesePauly2019",9,"spe-ocean","FroesePauly2018",459,0.03,"spe-LME","FroesePauly2018",329,"spe-FAO","FroesePauly2018",39,"spe-LME","FroesePauly2018",18.5141606911646,"FishLife",445432.904955439,445432.904955439,0.0737786152931604,"FishLife",250.252908487229,"FishLife"
"10",4,"Dasyatis centroura",NA,NA,"Bathytoshia centroura",NA,NA,NA,NA,NA,NA,NA,NA,3.81050135658531,NA,"FishLife",NA,NA,NA,NA,NA,133.565341318333,NA,"133.565341318333",NA,NA,4.14533253861519,NA,"FishLife",3.73748577819963,NA,"FishLife",120.369368643964,0.189223369338844,NA,"FishLife",99.2346337822829,NA,"FishLife",NA,NA,NA,16.5500782561672,"FishLife",7289.50352025251,7289.50352025251,0.18490399907026,"FishLife",90.4747544355276,"FishLife"
